"species","scientificName","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","year","month","country","countryCode","class","locality","occurrenceStatus","basisOfRecord","institutionCode","gbifRegion","phylum","family"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.48094,-0.29108,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","England - Greater London","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",55.971535,-4.685787,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Clyde estuaria","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.783002,-3.329993,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Talaton CP","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.122115,-2.0737,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Horton CP","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.061236,-5.548705,10,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Scotland - Argyll - Knapdale","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",55.894707,-4.318808,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Scotland - Glasgow","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.484489,-0.28558,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","England - Greater London","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.224153,-5.090304,2163,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.630714,-0.509579,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.793337,-4.750711,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.572447,-0.899615,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.460527,-3.550343,26357,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.21836,-2.375255,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.446849,-0.142549,67,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.973478,-1.594833,15,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.816887,-2.126842,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.379253,-2.377997,20,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.560653,-3.62575,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.368993,-2.853585,1,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.007347,-3.11563,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.444,-0.281855,20,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.547967,0.445786,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.718223,-2.790334,136,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.407647,-1.533458,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.883989,0.556616,6,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.471162,-3.563268,9,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.107462,-1.463302,6,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.382932,-2.937035,132,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.427857,-2.203348,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.576922,-2.155344,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.506109,-1.948842,26036,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.03644,-3.501471,50,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.756399,0.267169,11,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.228533,-1.609234,31,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.76663,-2.360983,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.667941,-7.314232,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.398154,-2.169861,40,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.509747,-0.188867,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",55.602828,-2.725195,29,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.446888,-0.14251,24,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.093235,-4.556802,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.973664,-1.595337,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.548351,-2.767632,175,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.254809,-3.031955,15,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.762057,-1.258713,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.880367,-0.430763,33,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.359747,-2.941267,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.920868,-1.157498,39,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.719457,-2.457777,109,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
